Sr.No,Type,Name of the University,WEBSITES,TIME TABLE,RESULTS,NEWS & NOTIFICATIONS,ADMIT CARD,STUDENT LOGIN,Scheme/Syllabus,Address,Zip,state,Status
11,State,Dr. B. R. Ambedkar University of Social Sciences,https://brauss.mp.gov.in/,https://brauss.mp.gov.in/content.aspx?page=time-table&number=6Jii7VW2cumBfDkRGpO0ag==,https://brauss.mp.gov.in/content.aspx?page=Results&number=fzMIRRtGi216aMduOb4EaA==,https://brauss.mp.gov.in/Latest_News.aspx?page=Latest%20News&number=ZCVtFSP1w0TR+bzu22nc0w==,https://braussutd.mponline.gov.in/frontend,https://braussutd.mponline.gov.in/site/userlogin,https://brauss.mp.gov.in/content.aspx?page=syllabus-2&number=OfbpHsgGAuaCFJ8BDDbg1A==,,,,
12,State,Jawaharlal Nehru Krishi Vishwavidyalaya,https://www.jnkvv.org/,https://www.jnkvv.org/time-table,,https://www.jnkvv.org/,,https://jnkvv.icrp.in/erp/,https://www.jnkvv.org/syllabus,,,,
13,State,Jiwaji University,https://www.jiwaji.edu/,https://jiwaji.edu/information-corner/Timetable,https://univindia.com/JwgResult/adselcolclassnew.php,https://jiwaji.edu/notice-board,https://jiwaji.mponline.gov.in/portal/Services/Jiwaji/exam/orguser/admit_card.aspx,https://jiwaji.mponline.gov.in/Portal/Services/JIWAJI/STUDENT_MGMT_SYS/Create_login.aspx?NewLogin=kcwPjJqgZTA=,https://jiwaji.edu/academics/syllabus,,,,
14,State,Krantisurya Tantya Bhil Vishwavidyalaya,https://ktbuniv.ac.in/,https://ktbuniv.ac.in/index.php/academics/time-table-new,https://univresult.mponline.gov.in/KharReSult/adselcolclass.php,https://ktbuniv.ac.in/,,https://iums.ktbuniv.ac.in/Outer/Login/Frm_OfficeLogin.aspx,https://ktbuniv.ac.in/index.php/academics/syllabus-2,,,,
15,State,Krantivir Tatya Tope Vishwavidyalaya,https://kttv.edu.in/,https://kttv.edu.in/academics/timetable,https://kttvonline.com/,https://kttv.edu.in/notice-board,https://kttv.mponline.gov.in/portal/ServicesHome/Service_KTTV.aspx?groupid=6,https://kttv.mponline.gov.in/portal/ServicesHome/Service_KTTV.aspx?groupid=7,https://kttv.edu.in/academics/syllabus,,,,
16,State,M.P.Bhoj (open) University,https://mpbou.edu.in/,https://mpbou.edu.in/time-table,https://mpbou.edu.in/results,https://mpbou.edu.in/News-Notification,,https://mpbou.mponline.gov.in/Portal/Services/bhoj/STUDENT_MGMT_SYS/Login.aspx,https://mpbou.edu.in/download-syllabus,,,,
17,State,Madhya Pradesh Medical Science University,https://mpmsu.edu.in/,https://mpmsu.edu.in/Timetable,https://mpmsu.edu.in/Result,https://mpmsu.edu.in/notice-board,,https://mpmsu.mponline.gov.in/Portal/Services/MPMSU/FrmLogin.aspx,https://mpmsu.edu.in/,,,,
18,State,Maharaja Chhatrasal Bundelkhand Vishwavidyalaya,https://mcbu.ac.in/,https://mcbu.ac.in/news-updates,https://mcbu.ac.in/results,https://mcbu.ac.in/news-updates,https://mcbu.mponline.gov.in/#,,https://mcbu.ac.in/syllabus,,,,
19,State,Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,https://mpsvv.ac.in/index.php/en/,https://www.mpsvv.ac.in/index.php/en/examination,https://www.mpsvv.ac.in/index.php/en/results,https://mpsvv.ac.in/index.php/en/notice,,https://www.mpsvv.in/student/login,https://mpsvv.ac.in/index.php/en/ug-shastri-syllabus-outcome,,,,
20,State,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,https://gramodayachitrakoot.ac.in/,https://gramodayachitrakoot.ac.in/category/examination/,https://gramodayachitrakoot.ac.in/result/results/,https://gramodayachitrakoot.ac.in/category/news-circulars/,https://gramodayachitrakoot.ac.in/admit-card/,https://mgcgv.mponline.gov.in/Portal/Services/MGCGV/FrmLogin.aspx,https://gramodayachitrakoot.ac.in/student-corner/syllabus/,,,,
